class_id,answer,question
0,"I can't tell you which of the many are best, but I can tell you about one I lived in briefly.\nI lived for a month in the Avalon at 4th and King. I was put up there as a corporate apartment. While it was fine, it was relatively expensive, and the rooms were small. It also had one of those rooms that served as kitchen, dining room and living room all in one. I'm not fond of these kinds of rooms, which are particularly American. The smell of cooking, people watching TV, people eating -- these all seem like activities that should be separated from one another. Call me old fashioned.  \nThe Avalon had a big gym, however, which was very good, and concierge service, which was very convenient. Most of them were very friendly. One concierge even hugged me when we left and said she was going to miss me!  Also convenient was its proximity to the Caltrain, the Safeway across the street and the Starbucks. But if you crave culture, this ain't it: everything is a chain store nearby.\nSo depending on your budget, your need for convenience and culture, and your tolerance for small rooms and/or omnirooms, it may suit you.",Nice apartment building near SBC Park? Any recommendations for a nice apartment building in SF generally in the SBC Park area?
1,"1. The Vatican City in central Rome ranks as the smallest nation of the world. It measures 0.17 square miles.<br />\n2. Monaco. <br />\n3. San Marino.\nHow did they manage to become countries?<br />\n1. The political freedom of the Vatican is guaranteed and protected by Italy. It concordat between the Holy See and the kingdom of Italy signed in 1929 in the Lateran Palace, Rome, by Cardinal Gasparri for Pius XI and by Benito Mussolini for Victor Emmanuel III.<br />\n2. Monaco came under French protection in 1861. However from 1911, when the first constitution was promulgated, the prince of Monaco was an absolute ruler.<br />\n3. According to tradition, Marino, a Christian stonecutter from Dalmatia, took refuge (4th cent) on Mt. Titano, the chief geographical feature of present-day San Marino. By the mid-5th cent., a community was formed; because of its relatively inaccessible location and its poverty, it has succeeded, with a few brief interruptions, in maintaining its independence. In 1631 its independence was recognized by the papacy.",What are world's 3 smallest nations? i.e.&#xd;<br>which is the smallest nation?&#xd;<br>which is the next one in size?&#xd;<br>and then the next one?&#xd;<br><br>How did they manage to become countries?
0,"If you were standing in front of a door, one leading to heaven and one leading to hell, neither of which are labeled, and guarding that door is a guard, one who always lies and one who always tells the truth, but you don't know who's who, what question would you ask to definitively know which one is the door to heaven versus hell.\nanswer: ""what would the other guard say that you would say is the door to heaven (hell)?"" then you know the opposite door is the door to heaven (hell)","What is the best riddle that you know? I'm trying to have a library of the best riddles that people encountered. So a good riddle would be a riddle that has no ugly tricks in it- pure logic answer – no tricks, no funky solutions."
0,90% of restaurants fail in their first year of existence. A 10% profit level for a restaurant  is considered a success. The average revenue and net income is hard to define without knowing the food concept and what type of liquor license the establishment will have: just beer and wine license or full bar license? Will the restaurant depend heavily on take out food orders or mostly dining within? The hours are very long 12 to 15 hours a day if yo will be serving lunch and dinner.,Economics of running a restaurant? Running a restaurant looks like hard work and long hours. &#xd;<br><br>What percentage of restaurants are profitable?  And what is the average revenue and net income of a small restaurant?
1,"Right.  Fuel additives are helpful for reduction of emissions, although they are not always economical.  For the most part, the US congress has subsidized the creation of ethanol, which tends to be a net cost unless created from waste agricultural products.\nAnother substance that has the same anti-emissions properties as ethanol is MTBE.  There has been a lot of press about MTBE recently due to its tendency to pollute groundwater.",Why do gas stations mix ethanol into gas? Why do gas stations mix ethanol into gas?
1,"Same reason solar power isn't more popular despite lots of sunshine: with current technology the cost per kwh is still much higher than for power generated with fossil fuels. As fossil fuel prices rise and technology improves so-called ""alternative"" energy sources become more cost effective, but the crossover point still appears to be several years in the future.\nForcing expensive alternative technologies on the market before they are economically viable simply raises electricity prices for homeowners--this is part of the reason CA electric rates were so far above the national average in the 1990's, opening the door for Enron and like to make their ill-fated arbitrage plays...","Why we are not using the sea waves to generate electricity? Giving that it is a clean and safe energy, and that almost all the time there are waves, why we are not using that to generate power"
1,"The NBA does have minor leagues - they're called the CBA, and the International leagues. :)\nSeriously - because viewers seem to value explosiveness over efficiency, I think we're seeing a major shift in the average age of NBA players towards young athletes that are quicker, high-flying and more resilient to injury. I wouldn't be surprised at all if by the end of this decade the average age of the league allstars is well under 25.","Why doesn't the NBA implement a minor leagues? I don't want to see any more High School kids on the court, shooting airballs and missing defensive assignments."
1,The longest word without a vowel is Rhythm.\nIt is referenced on below web site where you can find more fun facts.,What's the longest english word without a vowel in it? and what does that word mean if it's not a common word.
1,"Let me break it down-\nEngine- 3 liter V10.  Approximately 900+ hp, 19,000 rpm.  The engine weighs about 200 lbs.  It spins so fast that metal valve springs can't keep, the springs are pneumatic.\nBrakes- The better your brakes, the later you can brake and thus you can spend more time going fast.  These are carbon fiber and take 3 months to make.  They heat up to around 1500 F in use and can be seen glowing.  The wheels are limited to 13 inches in order to limit braking capability.  As they are, the driver experiences 4 G's of decelerating load under heavy braking.  An average person would black out in an F1 car.\nAerodynamics- Surprisingly, drag is not the critical factor, downforce is.  These cars have very high coefficients of drag, due to the open wheels and spoilers.  The downforce is created by aero devices which are basically inverted aeroplane wings, which push the car to the ground under speed.  It is because of the dependence on these devices that F1 cars have a difficult time passing, once the cars enter the dirty air behind another racer, downforce drops dramatically and so does the car's ability to corner quickly.\nTraction control- the cars generate so much power that the throttle is computer controlled to keep the tires from spinning.  The governing body (the FIA) wants to make this illegal but right now it is not feasible because it is merely software in the engine management systems, and it is not feasible to decompile these systems to find illegal code.\nTransmisison- The cars utilize computer controlled sequential manual transmissions.  The computers manage the throttle and clutch to pull off perfect shifts in one tenth of a second.  All the driver does is pull a lever.  The clutch is only used from a standstill and is engaged from a lever on the steering wheel. \nWhat doesn't make the cars fast-\nTires- The tires are grooved to limit traction.  If the drivers were allowed to run slicks, the traction and G loading would be so high that drivers would black out and possibly crash.  Starting in 2005, they also must last the entire race.\nWheels- Size limited to prevent the installation of overlarge brakes which would also push the drivers beyond the limits of human physiology\nBrakes- As stated earlier, size limited.  Also, no ABS at all (outlawed in 1994).",Formula1 car What makes a Formula1 car a fast car?
1,"First, I would never say that a theory has been proven. There may be a lot of evidence that supports a theory, and as a result it may no longer be on the list of theories that are being challenged, but theories are always theories and should always be open to adjustment by new evidence. A good theory is just a collection of hypothesis, experiments and deductions that survives repeated challenge and can therefore be used to predict untested outcomes.\nNow to your question (sorry for the tangent)... I think that most physicists consider Arthur Eddington's observations of the bending of light during the 1919 solar eclipse as the first solid evidence to support Einstein's theory of General Relativity. Einstein's theory predicted that gravitational fields would bend light, and Eddington's measurements supported that prediction, thus making it the first empirical data to support the theory.","how was Einstein's General Relativity theory proven ? When was it, where was it and by whom?"
0,"The gang makes an attack on the First's army, aided by Willow, who performs a powerful spell to imbue all of the Potentials with Slayer powers. Meanwhile, wearing the amulet that Angel brought, Spike becomes the decisive factor in the victory, and Sunnydale is eradicated. Buffy and the gang look back on what's left of Sunnydale, deciding what to do next...\n--but more importantly, there will no longer be any slaying in Sunnydale, or is that Sunnyvale....",Can someone tell me what happened in Buffy's series finale? I had to work and missed the ending.
1,It's called denial...,"How does a person live his whole life with the notion of impending death Just a philosophical question, nothing more."
1,"A helicopter gets its power from rotors or blades. When its rotors are spinning, a helicopter doesn't look much like an airplane. But the rotor blades have an airfoil shape like the wings of an airplane. So as the rotors turn, air flows more quickly over the tops of the blades than it does below. This creates enough lift for flight.",how does a helicopter fly this is a miracle- I always wanted to learn to fly one of those. Can someone explain how can it get airborne?
1,"i would think to keep the ""brand"" recognition and the history of the Big Ten. the conference has invested a lot in building the Big Ten name as well as any merchandising and corporate sponsorship.","Why would Big Ten keep its name inspite of adding a 11th school? [colleges & univs]&#xd;<br><br>Upto 1980s and early 90s, Big Ten conference had only 10 schools. But then somehow it was decided to add PSU as the 11th Big-Ten school.&#xd;<br><br>Any thoughts/insight on why the name of the conference not changed?"
1,"Massage is good for relieving stress if you find the right kind of you. \nOne of the most popular massages is Swedish massage. Light to medium pressure is applied with long, soothing strokes. Sometimes stress can cause muscle pain. Deep tissue massage can be tailored to the person's need. Aromatherapy massage makes use of the therapeutic effect of essential oil combined with a relaxing massage. Warm stone massage has become very popular in the past few years. Reflexology is a special form of foot massage.\nIt may take a few trials to find the right kind of massage for you. Once you find it, it can help maintain good physical health and stress reduction.",How effective is massage in relieving stress? How effective is massage in relieving stress?
1,"Check out ""California Tenants:  A Guide to Residential Tenants' and Landloards' Rights and Responsibilities"" (listed as a reference below) from the department of Consumer Affairs.",Is there a good reference for California Landlord-Tenant Law? I want to know what is required of landlords and tenants in California.
0,check out this site:\nhttp://mathworld.wolfram.com/TriangularDistribution.html,Triangular distribution random function How can I calculate a random number in a Triangular distribution random function? Is there a java packa\nged somewhere which does it?
1,"So the answer to your specific question is 'no'.  The problem is that if the container shines, it means that light and energy is being lost and will eventually run out.  There are materials that will glow for a long time due to radioactive decay or via chemical processes, but all of these are using up their 'fuel' in the process and will eventually run out.\nSome radioactive substances have a pretty long half-life and will appear to glow steadily without much decay over the scale of a human lifetime.\nNow, to get more generalized... it is possible to trap light in a container that doesn't shine. Scientists have been able to free light in its place using supercooled clouds of sodium which are naturally opaque, but can temporarily transmit light when altered via a laser beam.  If the laser is shut off, a light beam that is passing through the cloud will be temporarily frozen in place.  Australian scientists have recently been able to extend this interaction to be nearly as long as a second.\nOnce the laser is reintroduced the beam is recovered and continues on its way.  Now all this is a little debatable, since the photons actually get temporarily swallowed up by the material.  The photons that come out afterwards have the same configuration and quantum state as what went in, but whether they are exactly the same photons is more of a question for philosophy than for physics.",Capturing light in a container Can we capture light in a container? Will it run and shine forever? What kind of internal material we should use in order to do that?
0,"Their respective market caps are too close for this to ever happen.\nInterestingly, many reporters, analysts and tech pundits that I talk to think that the supposed competition between Google and Yahoo is fallacious, and that they are very different companies with very different strategies. Google's true competitor is often seen as being Microsoft, not Yahoo. This would support your claim that they are complementary.","When will Google buy Yahoo? The two businesses are very complementary in terms of strengths and weaknesses. Do we want to beat ourselves up competing with each other for resources and market share, or unite to beat MSFT?"
1,"It's clear that humans and animals (especially those close to us in the evolutionary tree), share similar chemical responses in their brain when faced with highly emotional situations.  Whether it be fear, contentment, mating urges, we have a lot of analogous mechanisms going on.  On this basis alone, there is a pretty strong argument that animals have feelings.\nOne possible counter-argument, however, is based on the definition that for certain chemical responses to be called feelings, that the being in question needs to have a conscious awareness of their state.  With this defition, it becomes much harder to say whether animals experience feelings in the same conscious manner even though the neurochemical signatures are similar.\nMy opinion is that this definition based on conscious understanding is a little specious, as it's based on an ongoing desire by some to try to define humans out of the context of the natural world... and to claim that we are categorically better than the other animals.  \nIf the neurochemical basis for consciousness is ever discovered we'll be able to quickly check which animals have this, and I suspect we'll find that many are conscious.  If this is so, then their feelings will be as real as human ones in all senses.","Do animals have feelings? can an animal feel regrets , compassion, sad, fear etc?"
1,"In the US, Trig is normally considered as a high school level course, however, it is not a required course to graduate. I believe Algebra is the highest of the high school math courses that are required for graduation, although some schools may still only require Geometry.\nIn the US the typical sequence for math courses is Pre-Algebra, Geometry, Algebra, Trigonometry and then Calculus (which is usually taken at the high school level as Pre-Calculus, but may also be taken as full ""AP"" Calculus, where the ""AP"" stands for ""Advanced Placement"" and means that the student can get University-level credit for that course when they go to College).",Is Trigonometry considered high school or college level math? I never took trig. Is it the level after calculus?
0,"The purpose is functional, but it's psychological rather than mechanical.\n\nHere's an explanation, from: http://www.slyasafox.com/book/book_33.html\n\n""In the early industrial age, buildings began to spring up all over the east coast. Many of these new buildings were taller than anything ever built before and most had elevators. As buildings got taller and taller, more people began to use elevators. Elevators in those days were pretty darn slow. People were constantly complaining about how slow the elevators were. \n\nElevator companies were challenged with this problem and came up with the typical problem statement elevators move too slow. So they went off to design elevators that were faster and safer, but at the time it was very expensive to do so. Several companies went off and running to build a safer and faster elevator, and one elevator company proposed a different problem statement. They may have had a different name for the approach, but they were using the fundamentals of the �est problem statement tool. One engineer said, I think our elevator speeds are just fine, people are crazy. \n\nThen an engineer proposed that they work on a different problem statement. He proposed that the problem was people think elevators move to slow. He inserted two words people think into the problem statement which allowed the design team to approach the problem from a completely different angle and thus a whole new set of ideas. Instead of concentrating on larger motors, slicker pulley designs and such, they concentrated on the passenger in the elevator.\n\nWhen they looked at the problem from this angle, the ideas started to snowball. Is it really too slow? Why do they think it is slow? How can we distract them? How can we make it more comfortable? Are customers scared of heights?\n\nThis lead to some first hand customer research. They found that a lot of people thought the elevators were a lot slower then they actually were. \n\n\nThey also discovered that people had an exaggerated sense of time because they had nothing to do but stare at the wall and think about the safety of the elevator  being suspended in the air, and preoccupied with the fear of falling. \n\nt room for additional equipment of any sort, so they brainstormed on that. This lead to the idea of mirrors in elevators so people would think about something else besides danger. Was their hair combed properly? Did her makeup look okay?\n\nBy installing mirrors in the elevators, people became distracted and were no longer preoccupied with the fear of falling. On a follow up survey, customers commented how much faster the new elevators were even though the speed was exactly the same. The elevator design itself had not changed at all."" \n\n",Why is there often a mirror in an elevator? What is the history behind it?
1,"In general it means that in a very high speed (also apply for low speed but hard to measure) , a Mass turns into Energy and vise versa. The conversion rate is C2 (C square).",Can someone explain the theory of e=mc2? I have forgotten what this means.
1,"Because the American public is more willing to forgive presidents that don't project themselves as smarter then them.  Its similar to how Oliver North and the Irancontra scandal in the 80's did not affect Reagan's popularity, but how Clinton's ""lies"" about Monica almost resulted in impeachment.  In a way, this may be Bush's genius, that he understands what lies Americans are willing to accept, and not accept.","Why can Bush get away with misinforming us about intelligence, then use that as reason for war? Why can Bush get away with misinforming us about intelligence and then using that as reason for war?"
1,Bed frames used to be sprung with rope. To make a marriage bed you needed to 'tie the knot',"where did term ""tie the knot"" come from? what's the origin of the notion of marriage as ""tying the knot?"""
1,"Do what the Red Sox did. Fire the coach from last year, trade your best player, and get a long haired guy to bat 1st.",How can the Chicago Cubs break their curse? The lovable Cubs need to win the big one!
0,"I don't know if this is the cheapest option, but I use the site YesAsia<br />\nhttp://us.yesasia.com/en/index.aspx<br />\nfor my Asian DVD & CD needs.  You often have a choice of region format, and its cheaper than buying it in some store.",What's the cheapest source for ordering DVDs from Asia? What's the cheapest source for ordering DVDs from Asia?
1,The 5 rings were introduced at the the 1920 games in antwerp games. The rings included at least one color from the flag of every participating country.,Why are there 5 rings in the Olympics symbol? What does it represent?  I heard few theories about it but not sure what is the correct one
1,"At Tradesports.com the contract has been set at the 49ers getting more than 4.5 wins, and it's trading at slightly less than even odds for that. 4-12 seems a good guess.",What is the over/under for wins by the 49ers this season? How many wins do you guys think the 49ers will get this year?  What is a good number?
1,"In the movies, James Bond gets Married at the end of ""On Her Majesty's Secret Service"", but unfortunately his wife dies very soon thereafter when the bad guys  shoot her while trying to gun down James. Her name was ""Contessa Teresa 'Tracy' Di Vicenzo Bond"", she was played by Diana Rigg.\nI've never read the books, so I don't know if he every married in the books.",What was James Bond's wife's name? I seem to be having my temporary memory lapse and can't seem to be recollecting my deceased wife's name. Can someone help?&#xd;<br><br>-- 007
0,"You can withdraw the money for childrens higher education. Details:<br />\nHigher education expenses.   Even if you are under age 59½, if you paid expenses for higher education during the year, part (or all) of any distribution may not be subject to the 10% additional tax. The part not subject to the tax is generally the amount that is not more than the qualified higher education expenses (defined later) for the year for education furnished at an eligible educational institution (defined later). The education must be for you, your spouse, or the children or grandchildren of you or your spouse.","How do I take my money out of 401k without penalty? If I change a job, and roll my 401k into an IRA, can I then take money out of the IRA to fund my childrens education without the penalty?"
1,"As long as a player is behind the line of scrimmage , they can throw the  ball. So to answer your question, anyone can throw the ball.","What are the rules around who can throw the ball in football? Usually it is the quarterback, but during an option play it can be someone else.  Can anyone throw the ball if they are behind the line of scrimmage?  Or are there just a few players who are allowed to?"
1,"here is an article that I've found:""Long before there was ever an established guide dog program was developed, dogs have been aiding the blind. A wooden plaque from the Middle Ages portrays a dog leading a blind man with a leash. The first actual attempt to train dogs to aid the blind was made in 1780 at Les Quinze-Vingts hospital for the blind, in Paris. In 1788, Josef Riesinger of Vienna was able to train a dog so well that people often doubted that he was blind!...""",What is the history of seeing eye dogs? What is the history of seeing eye dogs?
0,"You can keep dumping every year upto a net loss of $3,000.00","If I lose lots of money in stock in one year, can I carry the negative capital gain forward? How does that work and how many years can I carry forward?"
0,Publishing a book is a lot of hardwork. It takes 2 years sometimes for first timers. See URL below for broad steps.  Steps differ based on what kind of books one would try publishing.,"What are the steps required to edit, publish and distribute a book? I have a book that Ive being writing for sometime now, and I think that I would like to try and publish it"
